Day,GrocerySales
1,8418.59
2,8447.47
3,8336.49
4,8579.17
5,8524.31
6,8623.5
7,8320.11
8,8313.53
9,8461.34
10,8497.24
11,8674.65
12,8354.63
13,8526.67
14,8767.31
15,8689.53
16,8623.62
17,8527.89
18,8450.51
19,8629.84
20,8840.12
21,8768.17
22,8891.15
23,8851.8
24,8734.27
25,8719.43
26,8481.94
27,8383.21
28,8343.63
29,8333.17
30,8497.34
31,8326.74
32,8542.81
33,8544.43
34,8330.0
35,8005.84
36,8269.73
37,8385.14
38,8259.88
39,8411.89
40,7967.5
41,7861.130000000001
42,7857.489999999999
43,7861.880000000001
44,7791.16
45,7870.36
46,7789.55
47,7789.31
48,7668.63
49,7498.810000000001
50,7365.83
51,7396.36
52,7507.75
53,7386.67
54,8850.22
55,8818.8
56,8514.96
57,8759.27
58,8716.09
59,8531.38
60,8555.73
61,8582.61
62,8220.62
63,8060.37
64,8264.02
65,8073.39
66,8033.41
67,8130.92
68,8977.75
69,8873.18
70,8668.14
71,8631.88
72,8921.67
73,8975.52
74,8920.54
75,8933.95
76,8887.34
77,8679.44
78,8902.09
79,8847.79
80,8860.96
81,8742.61
82,8814.77
83,8797.31
84,8760.83
85,8694.32
86,8525.75
87,8566.44
88,8566.34
89,8816.94
90,8895.78
91,8842.24
92,8663.83
93,8881.29
94,8840.29
95,8305.75
96,8298.53
97,8225.72
98,7818.88
99,7901.22
100,7773.4
101,7627.04
102,7671.0
103,7608.99
104,7543.56
105,7742.56
106,7690.740000000001
107,7645.900000000001
108,7286.52
109,7726.48
110,7690.65
111,7509.97
112,7677.09
113,7426.04
114,7042.67
115,7186.41
116,7333.94
117,6895.51
118,7028.23
119,6766.37
120,6777.93
121,8140.23
122,8067.01
123,8290.87
124,8160.22
125,8234.93
126,8097.23
127,8113.46
128,7984.16
129,7827.990000000001
130,7998.88
131,7777.79
132,7652.93
133,7819.490000000001
134,8357.5
135,8466.65
136,8512.16
137,8748.9
138,8495.31
139,8706.42
140,8704.04
141,8741.24
142,8687.74
143,8357.45
144,8463.36
145,8652.51
146,8574.33
147,8447.78743300423
148,8654.317433004231
149,8481.087433004232
150,8410.477433004231
151,8564.69743300423
152,8761.53743300423
153,8673.44743300423
154,8527.35743300423
155,8607.237433004231
156,8727.27743300423
157,8398.60743300423
158,8438.427433004232
159,8530.52743300423
160,9033.28
161,8834.53
162,9137.76
163,8810.94
164,8921.68
165,9110.39
166,9198.97
167,8951.99
168,9054.0
169,9015.32
170,9099.88
171,9136.03
172,9140.61
173,8717.92
174,8854.64
175,8758.95
176,8864.43
177,8804.02
178,8660.67
179,8862.45
180,8550.54
181,8396.13
182,8510.4
183,8384.2
184,8442.21
185,8242.29
186,8113.34
187,8172.61
188,7826.22
189,7931.52
190,7863.659999999999
191,8000.13
192,7742.26
193,7787.02
194,8123.329999999999
195,7956.01
196,8117.72
197,7679.54
198,7408.77
199,7680.49
200,7822.24
